"patRIL","matRIL","sex","id"
21002,12002,"F",21002
21006,12006,"F",21006
21007,12007,"F",21007
21009,12009,"F",21009
21010,12010,"F",21010
21011,12011,"F",21011
21014,12014,"F",21014
21015,12015,"F",21015
21016,12016,"F",21016
21017,12017,"F",21017
21019,12019,"F",21019
21020,12020,"F",21020
21021,12021,"F",21021
21022,12022,"F",21022
21023,12023,"F",21023
21025,12025,"F",21025
21026,12026,"F",21026
21027,12027,"F",21027
21028,12028,"F",21028
21029,12029,"F",21029
21030,12030,"F",21030
21031,12031,"F",21031
21032,12032,"F",21032
21033,12033,"F",21033
21034,12034,"F",21034
21035,12035,"F",21035
21036,12036,"F",21036
21037,12037,"F",21037
21038,12038,"F",21038
21039,12039,"F",21039
21040,12040,"F",21040
21041,12041,"F",21041
21042,12042,"F",21042
21043,12043,"F",21043
21044,12044,"F",21044
21045,12045,"F",21045
21046,12046,"F",21046
21047,12047,"F",21047
21048,12048,"F",21048
21049,12049,"F",21049
21050,12050,"F",21050
21051,12051,"F",21051
21053,12053,"F",21053
21054,12054,"F",21054
21055,12055,"F",21055
21056,12056,"F",21056
21058,12058,"F",21058
21059,12059,"F",21059
21060,12060,"F",21060
21061,12061,"F",21061
21062,12062,"F",21062
21063,12063,"F",21063
21064,12064,"F",21064
21065,12065,"F",21065
21066,12066,"F",21066
21068,12068,"F",21068
21069,12069,"F",21069
21070,12070,"F",21070
21071,12071,"F",21071
21073,12073,"F",21073
21074,12074,"F",21074
21075,12075,"F",21075
21077,12077,"F",21077
21078,12078,"F",21078
21079,12079,"F",21079
21080,12080,"F",21080
21081,12081,"F",21081
21082,12082,"F",21082
21083,12083,"F",21083
21084,12084,"F",21084
21086,12086,"F",21086
21087,12087,"F",21087
21088,12088,"F",21088
21089,12089,"F",21089
21090,12090,"F",21090
21091,12091,"F",21091
21092,12092,"F",21092
21093,12093,"F",21093
21094,12094,"F",21094
21095,12095,"F",21095
21096,12096,"F",21096
21097,12097,"F",21097
21098,12098,"F",21098
21099,12099,"F",21099
21100,12100,"F",21100
21101,12101,"F",21101
21102,12102,"F",21102
21104,12104,"F",21104
21105,12105,"F",21105
21107,12107,"F",21107
21108,12108,"F",21108
21111,12111,"F",21111
21112,12112,"F",21112
21113,12113,"F",21113
21114,12114,"F",21114
21115,12115,"F",21115
21116,12116,"F",21116
21117,12117,"F",21117
21120,12120,"F",21120
21121,12121,"F",21121
21122,12122,"F",21122
21123,12123,"F",21123
21124,12124,"F",21124
21125,12125,"F",21125
21126,12126,"F",21126
21127,12127,"F",21127
21128,12128,"F",21128
21129,12129,"F",21129
21131,12131,"F",21131
21134,12134,"F",21134
